,age,boat,embarked,fare,parch,sex,sibsp,survived
0,29.0,100.0,0.0,211.3375,0.0,0.0,0.0,1.0
1,0.9167,100.0,0.0,151.55,2.0,1.0,1.0,1.0
2,2.0,2.4,0.0,151.55,2.0,0.0,1.0,0.0
3,30.0,2.4,0.0,151.55,2.0,1.0,1.0,0.0
4,25.0,2.4,0.0,151.55,2.0,0.0,1.0,0.0
5,48.0,100.0,0.0,26.55,0.0,1.0,0.0,1.0
6,63.0,100.0,0.0,77.9583,0.0,0.0,1.0,1.0
7,39.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0
8,53.0,93.75,0.0,51.4792,0.0,0.0,2.0,1.0
9,71.0,2.4,1.0,49.5042,0.0,1.0,0.0,0.0
10,47.0,2.4,1.0,227.525,0.0,1.0,1.0,0.0
11,18.0,100.0,1.0,227.525,0.0,0.0,1.0,1.0
12,24.0,100.0,1.0,69.3,0.0,0.0,0.0,1.0
13,26.0,100.0,0.0,78.85,0.0,0.0,0.0,1.0
14,80.0,83.33,0.0,30.0,0.0,1.0,0.0,1.0
15,32.29729071117561,2.4,0.0,25.925,0.0,1.0,0.0,0.0
16,24.0,2.4,1.0,247.5208,1.0,1.0,0.0,0.0
17,50.0,100.0,1.0,247.5208,1.0,0.0,0.0,1.0
18,32.0,100.0,1.0,76.2917,0.0,0.0,0.0,1.0
19,36.0,60.0,1.0,75.2417,0.0,1.0,0.0,0.0
20,37.0,100.0,0.0,52.5542,1.0,1.0,1.0,1.0
21,47.0,100.0,0.0,52.5542,1.0,0.0,1.0,1.0
22,26.0,100.0,1.0,30.0,0.0,1.0,0.0,1.0
23,42.0,100.0,1.0,227.525,0.0,0.0,0.0,1.0
24,29.0,100.0,0.0,221.7792,0.0,0.0,0.0,1.0
25,25.0,2.4,1.0,26.0,0.0,1.0,0.0,0.0
26,25.0,100.0,1.0,91.0792,0.0,1.0,1.0,1.0
27,19.0,100.0,1.0,91.0792,0.0,0.0,1.0,1.0
28,35.0,100.0,0.0,135.6333,0.0,0.0,0.0,1.0
29,28.0,93.75,0.0,26.55,0.0,1.0,0.0,1.0
30,45.0,2.4,0.0,35.5,0.0,1.0,0.0,0.0
31,40.0,100.0,1.0,31.0,0.0,1.0,0.0,1.0
32,30.0,100.0,0.0,164.8667,0.0,0.0,0.0,1.0
33,58.0,100.0,0.0,26.55,0.0,0.0,0.0,1.0
34,42.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
35,45.0,100.0,1.0,262.375,0.0,0.0,0.0,1.0
36,22.0,100.0,0.0,55.0,1.0,0.0,0.0,1.0
37,32.29729071117561,100.0,0.0,26.55,0.0,1.0,0.0,1.0
38,41.0,2.4,0.0,30.5,0.0,1.0,0.0,0.0
39,48.0,2.4,1.0,50.4958,0.0,1.0,0.0,0.0
40,32.29729071117561,2.4,1.0,39.6,0.0,1.0,0.0,0.0
41,44.0,100.0,1.0,27.7208,0.0,0.0,0.0,1.0
42,59.0,93.75,0.0,51.4792,0.0,0.0,2.0,1.0
43,60.0,100.0,1.0,76.2917,0.0,0.0,0.0,1.0
44,41.0,100.0,1.0,134.5,0.0,0.0,0.0,1.0
45,45.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
46,32.29729071117561,2.4,0.0,31.0,0.0,1.0,0.0,0.0
47,42.0,100.0,0.0,26.2875,0.0,1.0,0.0,1.0
48,53.0,100.0,1.0,27.4458,0.0,0.0,0.0,1.0
49,36.0,100.0,1.0,512.3292,1.0,1.0,0.0,1.0
50,58.0,100.0,1.0,512.3292,1.0,0.0,0.0,1.0
51,33.0,2.4,0.0,5.0,0.0,1.0,0.0,0.0
52,28.0,2.4,0.0,47.1,0.0,1.0,0.0,0.0
53,17.0,2.4,0.0,47.1,0.0,1.0,0.0,0.0
54,11.0,100.0,0.0,120.0,2.0,1.0,1.0,1.0
55,14.0,100.0,0.0,120.0,2.0,0.0,1.0,1.0
56,36.0,100.0,0.0,120.0,2.0,1.0,1.0,1.0
57,36.0,100.0,0.0,120.0,2.0,0.0,1.0,1.0
58,49.0,2.4,0.0,26.0,0.0,1.0,0.0,0.0
59,32.29729071117561,100.0,1.0,27.7208,0.0,0.0,0.0,1.0
60,36.0,2.4,0.0,78.85,0.0,1.0,1.0,0.0
61,76.0,100.0,0.0,78.85,0.0,0.0,1.0,1.0
62,46.0,2.4,0.0,61.175,0.0,1.0,1.0,0.0
63,47.0,100.0,0.0,61.175,0.0,0.0,1.0,1.0
64,27.0,100.0,0.0,53.1,0.0,1.0,1.0,1.0
65,33.0,100.0,0.0,53.1,0.0,0.0,1.0,1.0
66,36.0,100.0,1.0,262.375,0.0,0.0,0.0,1.0
67,30.0,100.0,0.0,86.5,0.0,0.0,0.0,1.0
68,45.0,100.0,1.0,29.7,0.0,1.0,0.0,1.0
69,32.29729071117561,100.0,0.0,55.0,1.0,0.0,0.0,1.0
70,32.29729071117561,2.4,0.0,0.0,0.0,1.0,0.0,0.0
71,27.0,2.4,1.0,136.7792,0.0,1.0,1.0,0.0
72,26.0,100.0,1.0,136.7792,0.0,0.0,1.0,1.0
73,22.0,100.0,0.0,151.55,0.0,0.0,0.0,1.0
74,32.29729071117561,2.4,0.0,52.0,0.0,1.0,0.0,0.0
75,47.0,2.4,0.0,25.5875,0.0,1.0,0.0,0.0
76,39.0,96.55,1.0,83.1583,1.0,0.0,1.0,1.0
77,37.0,2.4,1.0,83.1583,1.0,1.0,1.0,0.0
78,64.0,96.55,1.0,83.1583,2.0,0.0,0.0,1.0
79,55.0,100.0,0.0,25.7,0.0,0.0,2.0,1.0
80,32.29729071117561,2.4,0.0,26.55,0.0,1.0,0.0,0.0
81,70.0,2.4,0.0,71.0,1.0,1.0,1.0,0.0
82,36.0,100.0,0.0,71.0,2.0,0.0,0.0,1.0
83,64.0,100.0,0.0,26.55,1.0,0.0,1.0,1.0
84,39.0,2.4,1.0,71.2833,0.0,1.0,1.0,0.0
85,38.0,100.0,1.0,71.2833,0.0,0.0,1.0,1.0
86,51.0,2.4,0.0,26.55,0.0,1.0,0.0,1.0
87,27.0,100.0,0.0,30.5,0.0,1.0,0.0,1.0
88,33.0,100.0,0.0,151.55,0.0,0.0,0.0,1.0
89,31.0,2.4,0.0,52.0,0.0,1.0,1.0,0.0
90,27.0,100.0,0.0,52.0,2.0,0.0,1.0,1.0
91,31.0,100.0,0.0,57.0,0.0,1.0,1.0,1.0
92,17.0,100.0,0.0,57.0,0.0,0.0,1.0,1.0
93,53.0,100.0,0.0,81.8583,1.0,1.0,1.0,1.0
94,4.0,100.0,0.0,81.8583,2.0,1.0,0.0,1.0
95,54.0,100.0,0.0,81.8583,1.0,0.0,1.0,1.0
96,50.0,2.4,1.0,106.425,0.0,1.0,1.0,0.0
97,27.0,100.0,1.0,247.5208,1.0,0.0,1.0,1.0
98,48.0,100.0,1.0,106.425,0.0,0.0,1.0,1.0
99,48.0,100.0,1.0,39.6,0.0,0.0,1.0,1.0
100,49.0,100.0,1.0,56.9292,0.0,1.0,1.0,1.0
101,39.0,2.4,1.0,29.7,0.0,1.0,0.0,0.0
102,23.0,100.0,1.0,83.1583,1.0,0.0,0.0,1.0
103,38.0,100.0,1.0,227.525,0.0,0.0,0.0,1.0
104,54.0,100.0,1.0,78.2667,0.0,0.0,1.0,1.0
105,36.0,2.4,1.0,31.6792,0.0,0.0,0.0,0.0
106,32.29729071117561,2.4,0.0,221.7792,0.0,1.0,0.0,0.0
107,32.29729071117561,100.0,0.0,31.6833,0.0,0.0,0.0,1.0
108,32.29729071117561,100.0,1.0,110.8833,0.0,0.0,0.0,1.0
109,36.0,100.0,0.0,26.3875,0.0,1.0,0.0,1.0
110,30.0,2.4,1.0,27.75,0.0,1.0,0.0,0.0
111,24.0,100.0,0.0,263.0,2.0,0.0,3.0,1.0
112,28.0,100.0,0.0,263.0,2.0,0.0,3.0,1.0
113,23.0,100.0,0.0,263.0,2.0,0.0,3.0,1.0
114,19.0,2.4,0.0,263.0,2.0,1.0,3.0,0.0
115,64.0,2.4,0.0,263.0,4.0,1.0,1.0,0.0
116,60.0,100.0,0.0,263.0,4.0,0.0,1.0,1.0
117,30.0,100.0,1.0,56.9292,0.0,0.0,0.0,1.0
118,32.29729071117561,2.4,0.0,26.55,0.0,1.0,0.0,0.0
119,50.0,100.0,0.0,133.65,0.0,1.0,2.0,1.0
120,43.0,100.0,1.0,27.7208,0.0,1.0,1.0,1.0
121,32.29729071117561,100.0,0.0,133.65,0.0,0.0,1.0,1.0
122,22.0,100.0,1.0,49.5,2.0,0.0,0.0,1.0
123,60.0,100.0,1.0,79.2,1.0,1.0,1.0,1.0
124,48.0,100.0,1.0,79.2,1.0,0.0,1.0,1.0
125,32.29729071117561,2.4,0.0,0.0,0.0,1.0,0.0,0.0
126,37.0,2.4,0.0,53.1,0.0,1.0,1.0,0.0
127,35.0,93.75,0.0,53.1,0.0,0.0,1.0,1.0
128,47.0,2.4,0.0,38.5,0.0,1.0,0.0,0.0
129,35.0,100.0,1.0,211.5,0.0,0.0,0.0,1.0
130,22.0,100.0,1.0,59.4,1.0,0.0,0.0,1.0
131,45.0,100.0,1.0,59.4,1.0,0.0,0.0,1.0
132,24.0,2.4,1.0,79.2,0.0,1.0,0.0,0.0
133,49.0,100.0,1.0,89.1042,0.0,1.0,1.0,1.0
134,32.29729071117561,100.0,1.0,89.1042,0.0,0.0,1.0,1.0
135,71.0,2.4,1.0,34.6542,0.0,1.0,0.0,0.0
136,53.0,83.33,1.0,28.5,0.0,1.0,0.0,1.0
137,19.0,100.0,0.0,30.0,0.0,0.0,0.0,1.0
138,38.0,2.4,0.0,153.4625,1.0,1.0,0.0,0.0
139,58.0,100.0,0.0,153.4625,1.0,0.0,0.0,1.0
140,23.0,100.0,1.0,63.3583,1.0,1.0,0.0,1.0
141,45.0,100.0,1.0,63.3583,1.0,0.0,0.0,1.0
142,46.0,2.4,1.0,79.2,0.0,1.0,0.0,0.0
143,25.0,100.0,1.0,55.4417,0.0,1.0,1.0,1.0
144,25.0,100.0,1.0,55.4417,0.0,0.0,1.0,1.0
145,48.0,100.0,1.0,76.7292,0.0,1.0,1.0,1.0
146,49.0,100.0,1.0,76.7292,0.0,0.0,1.0,1.0
147,32.29729071117561,2.4,0.0,42.4,0.0,1.0,0.0,0.0
148,45.0,2.4,0.0,83.475,0.0,1.0,1.0,0.0
149,35.0,93.75,0.0,83.475,0.0,0.0,1.0,1.0
150,40.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0
151,27.0,100.0,1.0,76.7292,0.0,1.0,0.0,1.0
152,32.29729071117561,100.0,0.0,30.0,0.0,1.0,0.0,1.0
153,24.0,100.0,1.0,83.1583,0.0,0.0,0.0,1.0
154,55.0,2.4,0.0,93.5,1.0,1.0,1.0,0.0
155,52.0,100.0,0.0,93.5,1.0,0.0,1.0,1.0
156,42.0,2.4,0.0,42.5,0.0,1.0,0.0,0.0
157,32.29729071117561,2.4,0.0,51.8625,0.0,1.0,0.0,0.0
158,55.0,2.4,0.0,50.0,0.0,1.0,0.0,0.0
159,16.0,100.0,1.0,57.9792,1.0,0.0,0.0,1.0
160,44.0,100.0,1.0,57.9792,1.0,0.0,0.0,1.0
161,51.0,100.0,0.0,77.9583,0.0,0.0,1.0,1.0
162,42.0,2.4,0.0,52.0,0.0,1.0,1.0,0.0
163,35.0,100.0,0.0,52.0,0.0,0.0,1.0,1.0
164,35.0,100.0,1.0,26.55,0.0,1.0,0.0,1.0
165,38.0,93.75,0.0,90.0,0.0,1.0,1.0,1.0
166,32.29729071117561,96.55,1.0,30.6958,0.0,1.0,0.0,0.0
167,35.0,93.75,0.0,90.0,0.0,0.0,1.0,1.0
168,38.0,100.0,0.34759358288770054,80.0,0.0,0.0,0.0,1.0
169,50.0,2.4,1.0,28.7125,0.0,0.0,0.0,0.0
170,49.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0
171,46.0,2.4,0.0,26.0,0.0,1.0,0.0,0.0
172,50.0,2.4,0.0,26.0,0.0,1.0,0.0,0.0
173,32.5,2.4,1.0,211.5,0.0,1.0,0.0,0.0
174,58.0,2.4,1.0,29.7,0.0,1.0,0.0,0.0
175,41.0,2.4,0.0,51.8625,0.0,1.0,1.0,0.0
176,32.29729071117561,100.0,0.0,51.8625,0.0,0.0,1.0,1.0
177,42.0,100.0,0.0,52.5542,0.0,1.0,1.0,1.0
178,45.0,100.0,0.0,52.5542,0.0,0.0,1.0,1.0
179,32.29729071117561,2.4,0.0,26.55,0.0,1.0,0.0,0.0
180,39.0,100.0,0.0,211.3375,0.0,0.0,0.0,1.0
181,49.0,100.0,0.0,25.9292,0.0,0.0,0.0,1.0
182,30.0,100.0,1.0,106.425,0.0,0.0,0.0,1.0
183,35.0,100.0,1.0,512.3292,0.0,1.0,0.0,1.0
184,32.29729071117561,2.4,1.0,27.7208,0.0,1.0,0.0,0.0
185,42.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
186,55.0,100.0,1.0,27.7208,0.0,0.0,0.0,1.0
187,16.0,100.0,0.0,39.4,1.0,0.0,0.0,1.0
188,51.0,100.0,0.0,39.4,1.0,0.0,0.0,1.0
189,29.0,2.4,0.0,30.0,0.0,1.0,0.0,0.0
190,21.0,100.0,0.0,77.9583,0.0,0.0,0.0,1.0
191,30.0,2.4,0.0,45.5,0.0,1.0,0.0,0.0
192,58.0,2.4,1.0,146.5208,0.0,0.0,0.0,1.0
193,15.0,100.0,0.0,211.3375,1.0,0.0,0.0,1.0
194,30.0,2.4,0.0,26.0,0.0,1.0,0.0,0.0
195,16.0,100.0,0.0,86.5,0.0,0.0,0.0,1.0
196,32.29729071117561,100.0,1.0,29.7,0.0,1.0,0.0,1.0
197,19.0,2.4,0.0,53.1,0.0,1.0,1.0,0.0
198,18.0,100.0,0.0,53.1,0.0,0.0,1.0,1.0
199,24.0,100.0,1.0,49.5042,0.0,0.0,0.0,1.0
200,46.0,2.4,1.0,75.2417,0.0,1.0,0.0,0.0
201,54.0,2.4,0.0,51.8625,0.0,1.0,0.0,0.0
202,36.0,100.0,0.0,26.2875,0.0,1.0,0.0,1.0
203,28.0,2.4,1.0,82.1708,0.0,1.0,1.0,0.0
204,32.29729071117561,100.0,1.0,82.1708,0.0,0.0,1.0,1.0
205,65.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
206,44.0,2.4,2.0,90.0,0.0,1.0,2.0,0.0
207,33.0,96.55,2.0,90.0,0.0,0.0,1.0,1.0
208,37.0,96.55,2.0,90.0,0.0,0.0,1.0,1.0
209,30.0,100.0,1.0,57.75,0.0,1.0,1.0,1.0
210,55.0,2.4,0.0,30.5,0.0,1.0,0.0,0.0
211,47.0,2.4,0.0,42.4,0.0,1.0,0.0,0.0
212,37.0,2.4,1.0,29.7,1.0,1.0,0.0,0.0
213,31.0,100.0,1.0,113.275,0.0,0.0,1.0,1.0
214,23.0,100.0,1.0,113.275,0.0,0.0,1.0,1.0
215,58.0,2.4,1.0,113.275,2.0,1.0,0.0,0.0
216,19.0,100.0,0.0,26.2833,2.0,0.0,0.0,1.0
217,64.0,2.4,0.0,26.0,0.0,1.0,0.0,0.0
218,39.0,100.0,1.0,108.9,0.0,0.0,0.0,1.0
219,32.29729071117561,100.0,1.0,25.7417,0.0,1.0,0.0,1.0
220,22.0,100.0,1.0,61.9792,1.0,0.0,0.0,1.0
221,65.0,2.4,1.0,61.9792,1.0,1.0,0.0,0.0
222,28.5,2.4,1.0,27.7208,0.0,1.0,0.0,0.0
223,32.29729071117561,2.4,0.0,0.0,0.0,1.0,0.0,0.0
224,45.5,2.4,0.0,28.5,0.0,1.0,0.0,0.0
225,23.0,2.4,0.0,93.5,0.0,1.0,0.0,0.0
226,29.0,2.4,0.0,66.6,0.0,1.0,1.0,0.0
227,22.0,100.0,0.0,66.6,0.0,0.0,1.0,1.0
228,18.0,2.4,1.0,108.9,0.0,1.0,1.0,0.0
229,17.0,100.0,1.0,108.9,0.0,0.0,1.0,1.0
230,30.0,100.0,0.0,93.5,0.0,0.0,0.0,1.0
231,52.0,100.0,0.0,30.5,0.0,1.0,0.0,1.0
232,47.0,2.4,0.0,52.0,0.0,1.0,0.0,0.0
233,56.0,100.0,1.0,83.1583,1.0,0.0,0.0,1.0
234,38.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0
235,32.29729071117561,60.0,0.0,39.6,0.0,1.0,0.0,1.0
236,22.0,2.4,1.0,135.6333,0.0,1.0,0.0,0.0
237,32.29729071117561,2.4,1.0,227.525,0.0,1.0,0.0,0.0
238,43.0,100.0,0.0,211.3375,1.0,0.0,0.0,1.0
239,31.0,2.4,0.0,50.4958,0.0,1.0,0.0,0.0
240,45.0,100.0,0.0,26.55,0.0,1.0,0.0,1.0
241,32.29729071117561,2.4,0.0,50.0,0.0,1.0,0.0,0.0
242,33.0,100.0,1.0,27.7208,0.0,0.0,0.0,1.0
243,46.0,2.4,1.0,79.2,0.0,1.0,0.0,0.0
244,36.0,2.4,1.0,40.125,0.0,1.0,0.0,0.0
245,33.0,100.0,0.0,86.5,0.0,0.0,0.0,1.0
246,55.0,2.4,1.0,59.4,0.0,1.0,1.0,0.0
247,54.0,100.0,1.0,59.4,0.0,0.0,1.0,1.0
248,33.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
249,13.0,100.0,1.0,262.375,2.0,1.0,2.0,1.0
250,18.0,100.0,1.0,262.375,2.0,0.0,2.0,1.0
251,21.0,100.0,1.0,262.375,2.0,0.0,2.0,1.0
252,61.0,2.4,1.0,262.375,3.0,1.0,1.0,0.0
253,48.0,100.0,1.0,262.375,3.0,0.0,1.0,1.0
254,32.29729071117561,100.0,0.0,30.5,0.0,1.0,0.0,1.0
255,24.0,100.0,1.0,69.3,0.0,0.0,0.0,1.0
256,32.29729071117561,100.0,0.0,26.0,0.0,1.0,0.0,1.0
257,35.0,100.0,1.0,57.75,0.0,0.0,1.0,1.0
258,30.0,100.0,1.0,31.0,0.0,0.0,0.0,1.0
259,34.0,100.0,0.0,26.55,0.0,1.0,0.0,1.0
260,40.0,100.0,0.0,153.4625,0.0,0.0,0.0,1.0
261,35.0,100.0,0.0,26.2875,0.0,1.0,0.0,1.0
262,50.0,2.4,0.0,55.9,0.0,1.0,1.0,0.0
263,39.0,100.0,0.0,55.9,0.0,0.0,1.0,1.0
264,56.0,100.0,1.0,35.5,0.0,1.0,0.0,1.0
265,28.0,100.0,0.0,35.5,0.0,1.0,0.0,1.0
266,56.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
267,56.0,2.4,1.0,30.6958,0.0,1.0,0.0,0.0
268,24.0,2.4,0.0,60.0,0.0,1.0,1.0,0.0
269,32.29729071117561,2.4,0.0,26.0,0.0,1.0,0.0,0.0
270,18.0,100.0,0.0,60.0,0.0,0.0,1.0,1.0
271,24.0,100.0,0.0,82.2667,0.0,1.0,1.0,1.0
272,23.0,100.0,0.0,82.2667,0.0,0.0,1.0,1.0
273,6.0,100.0,1.0,134.5,2.0,1.0,0.0,1.0
274,45.0,100.0,1.0,134.5,1.0,1.0,1.0,1.0
275,40.0,100.0,1.0,134.5,1.0,0.0,1.0,1.0
276,57.0,2.4,1.0,146.5208,0.0,1.0,1.0,0.0
277,32.29729071117561,100.0,1.0,146.5208,0.0,0.0,1.0,1.0
278,32.0,100.0,1.0,30.5,0.0,1.0,0.0,1.0
279,62.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
280,54.0,100.0,1.0,55.4417,0.0,1.0,1.0,1.0
281,43.0,100.0,1.0,55.4417,0.0,0.0,1.0,1.0
282,52.0,100.0,1.0,78.2667,0.0,0.0,1.0,1.0
283,32.29729071117561,2.4,1.0,27.7208,0.0,1.0,0.0,0.0
284,62.0,100.0,0.34759358288770054,80.0,0.0,0.0,0.0,1.0
285,67.0,2.4,0.0,221.7792,0.0,1.0,1.0,0.0
286,63.0,2.4,0.0,221.7792,0.0,0.0,1.0,0.0
287,61.0,2.4,0.0,32.3208,0.0,1.0,0.0,0.0
288,48.0,100.0,0.0,25.9292,0.0,0.0,0.0,1.0
289,18.0,100.0,0.0,79.65,2.0,0.0,0.0,1.0
290,52.0,2.4,0.0,79.65,1.0,1.0,1.0,0.0
291,39.0,100.0,0.0,79.65,1.0,0.0,1.0,1.0
292,48.0,2.4,0.0,52.0,0.0,1.0,1.0,1.0
293,32.29729071117561,2.4,0.0,52.0,0.0,0.0,1.0,1.0
294,49.0,2.4,1.0,110.8833,1.0,1.0,1.0,0.0
295,17.0,83.33,1.0,110.8833,2.0,1.0,0.0,1.0
296,39.0,100.0,1.0,110.8833,1.0,0.0,1.0,1.0
297,32.29729071117561,93.75,1.0,79.2,0.0,0.0,0.0,1.0
298,31.0,100.0,1.0,28.5375,0.0,1.0,0.0,1.0
299,40.0,2.4,1.0,27.7208,0.0,1.0,0.0,0.0
300,61.0,2.4,0.0,33.5,0.0,1.0,0.0,0.0
301,47.0,2.4,0.0,34.0208,0.0,1.0,0.0,0.0
302,35.0,100.0,1.0,512.3292,0.0,0.0,0.0,1.0
303,64.0,2.4,1.0,75.25,0.0,1.0,1.0,0.0
304,60.0,100.0,1.0,75.25,0.0,0.0,1.0,1.0
305,60.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
306,54.0,2.4,0.0,77.2875,1.0,1.0,0.0,0.0
307,21.0,2.4,0.0,77.2875,1.0,1.0,0.0,0.0
308,55.0,100.0,1.0,135.6333,0.0,0.0,0.0,1.0
309,31.0,100.0,0.0,164.8667,2.0,0.0,0.0,1.0
310,57.0,2.4,0.0,164.8667,1.0,1.0,1.0,0.0
311,45.0,100.0,0.0,164.8667,1.0,0.0,1.0,1.0
312,50.0,2.4,1.0,211.5,1.0,1.0,1.0,0.0
313,27.0,2.4,1.0,211.5,2.0,1.0,0.0,0.0
314,50.0,100.0,1.0,211.5,1.0,0.0,1.0,1.0
315,21.0,2.4,0.0,26.55,0.0,0.0,0.0,1.0
316,51.0,2.4,1.0,61.3792,1.0,1.0,0.0,0.0
317,21.0,60.0,1.0,61.3792,1.0,1.0,0.0,1.0
318,32.29729071117561,2.4,0.0,35.0,0.0,1.0,0.0,0.0
319,31.0,100.0,1.0,134.5,0.0,0.0,0.0,1.0
320,32.29729071117561,93.75,0.0,35.5,0.0,1.0,0.0,1.0
321,62.0,2.4,0.0,26.55,0.0,1.0,0.0,0.0
322,36.0,100.0,1.0,135.6333,0.0,0.0,0.0,1.0
323,30.0,2.4,1.0,24.0,0.0,1.0,1.0,0.0
324,28.0,100.0,1.0,24.0,0.0,0.0,1.0,1.0
325,30.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
326,18.0,2.4,0.0,11.5,0.0,1.0,0.0,0.0
327,25.0,2.4,0.0,10.5,0.0,1.0,0.0,0.0
328,34.0,2.4,0.0,26.0,0.0,1.0,1.0,0.0
329,36.0,100.0,0.0,26.0,0.0,0.0,1.0,1.0
330,57.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
331,18.0,2.4,0.0,11.5,0.0,1.0,0.0,0.0
332,23.0,2.4,0.0,10.5,0.0,1.0,0.0,0.0
333,36.0,100.0,0.0,13.0,0.0,0.0,0.0,1.0
334,28.0,2.4,0.0,10.5,0.0,1.0,0.0,0.0
335,51.0,2.4,0.0,12.525,0.0,1.0,0.0,0.0
336,32.0,100.0,0.0,26.0,0.0,1.0,1.0,1.0
337,19.0,100.0,0.0,26.0,0.0,0.0,1.0,1.0
338,28.0,2.4,0.0,26.0,0.0,1.0,0.0,0.0
339,1.0,100.0,0.0,39.0,1.0,1.0,2.0,1.0
340,4.0,100.0,0.0,39.0,1.0,0.0,2.0,1.0
341,12.0,100.0,0.0,39.0,1.0,0.0,2.0,1.0
342,36.0,100.0,0.0,39.0,3.0,0.0,0.0,1.0
343,34.0,100.0,0.0,13.0,0.0,1.0,0.0,1.0
344,19.0,94.73,0.0,13.0,0.0,0.0,0.0,1.0
345,23.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
346,26.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
347,42.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
348,27.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
349,24.0,100.0,0.0,13.0,0.0,0.0,0.0,1.0
350,15.0,96.55,0.0,39.0,2.0,0.0,0.0,1.0
351,60.0,2.4,0.0,39.0,1.0,1.0,1.0,0.0
352,40.0,96.55,0.0,39.0,1.0,0.0,1.0,1.0
353,20.0,94.73,0.0,26.0,0.0,0.0,1.0,1.0
354,25.0,2.4,0.0,26.0,0.0,1.0,1.0,0.0
355,36.0,100.0,0.0,13.0,0.0,0.0,0.0,1.0
356,25.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
357,42.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
358,42.0,2.4,0.0,13.0,0.0,0.0,0.0,1.0
359,0.8333,100.0,0.0,29.0,2.0,1.0,0.0,1.0
360,26.0,100.0,0.0,29.0,1.0,1.0,1.0,1.0
361,22.0,100.0,0.0,29.0,1.0,0.0,1.0,1.0
362,35.0,96.55,0.0,21.0,0.0,0.0,0.0,1.0
363,32.29729071117561,2.4,0.0,0.0,0.0,1.0,0.0,0.0
364,19.0,2.4,0.0,13.0,0.0,1.0,0.0,0.0
365,44.0,2.4,0.0,26.0,0.0,0.0,1.0,0.0
